Name,Code
Xã Cách Linh,01636
Xã Đại Sơn,01639
Xã Lương Thiện,01642
Xã Tiên Thành,01645
Thị trấn Hoà Thuận,01648
Xã Mỹ Hưng,01651
Thị trấn Nước Hai,01654
Xã Dân Chủ,01657
Xã Nam Tuấn,01660
Xã Đức Xuân,01663
Xã Đại Tiến,01666
Xã Đức Long,01669
Xã Ngũ Lão,01672
Xã Trương Lương,01675
Xã Bình Long,01678
Xã Nguyễn Huệ,01681
Xã Công Trừng,01684
Xã Hồng Việt,01687
Xã Bế Triều,01690
Xã Hoàng Tung,01696
Xã Trương Vương,01699
Xã Quang Trung,01702
Xã Bạch Đằng,01708
Xã Bình Dương,01711
Xã Lê Chung,01714
Xã Hà Trì,01717
Xã Hồng Nam,01723
Thị trấn Nguyên Bình,01726
Thị trấn Tĩnh Túc,01729
Xã Yên Lạc,01732
Xã Triệu Nguyên,01735
Xã Ca Thành,01738
Xã Thái Học,01741
Xã Vũ Nông,01744
Xã Minh Tâm,01747
Xã Thể Dục,01750
Xã Bắc Hợp,01753
Xã Mai Long,01756
Xã Lang Môn,01759
Xã Minh Thanh,01762
Xã Hoa Thám,01765
Xã Phan Thanh,01768
Xã Quang Thành,01771
Xã Tam Kim,01774
Xã Thành Công,01777
Xã Thịnh Vượng,01780
Xã Hưng Đạo,01783
Thị trấn Đông Khê,01786
Xã Canh Tân,01789
Xã Kim Đồng,01792
Xã Minh Khai,01795
Xã Thị Ngân,01798
Xã Đức Thông,01801
Xã Thái Cường,01804
Xã Vân Trình,01807
Xã Thụy Hùng,01810
Xã Quang Trọng,01813
Xã Trọng Con,01816
Xã Lê Lai,01819
Xã Đức Long,01822
